Gene,Category,AR2_Eigenvalue,AR2_R2,AR2_RootType,Cosinor_Amplitude,Cosinor_Phase,Cosinor_qValue,Cosinor_R2,Cosinor_Rhythmic,JTK_Tau,JTK_qValue,JTK_Period,JTK_Rhythmic,Agreement
Calml3,Other,0.2879,0.0071,Complex,0.9444,21.54,0.8283,0.026,False,0.1544,1,20,False,"All agree: none"
Net1,Other,0.7704,0.7341,Complex,158.9438,2.7,0,0.8312,True,0.708,0.0031,24,True,"All agree"
Ucn3,Other,0.7022,0.2194,Real,0.4455,16.8,0.9081,0.0134,False,0.1539,1,28,False,"AR(2) unique"
Akr1c18,Other,0.5441,0.0947,Complex,0.3918,11.04,0.8454,0.0231,False,-0.2468,1,28,False,"AR(2) unique"
Akr1c12,Other,0.5126,0.0624,Real,28.874,8.31,0.3003,0.1605,False,0.3285,1,20,False,"AR(2) unique"
LOC102638797,Other,0.4464,0.0409,Real,0.3384,15.5,0.3883,0.126,False,-0.2454,1,24,False,"All agree: none"
Akr1c20,Other,0.2607,0.1134,Complex,214.091,5.65,0.0021,0.5543,True,-0.5891,0.0257,24,True,"Rhythm-only"
Akr1e1,Other,0.6917,0.2108,Real,108.3038,0.92,0.003,0.5341,True,0.5183,0.0993,24,False,"Partial"
Pfkp,Other,0.4019,0.034,Real,3.6189,22.73,0.0542,0.3346,False,0.4029,0.6938,28,False,"All agree: none"
Wdr37,Other,0.5816,0.1036,Real,34.434,3.52,0.0093,0.4632,True,0.5647,0.0421,24,True,"All agree"
Gtpbp4,Other,0.4216,0.031,Real,138.6317,10.49,0.0984,0.2816,False,-0.3855,0.8575,24,False,"All agree: none"
Zmynd11,Other,0.764,0.2979,Real,20.1526,20.93,0.6165,0.0654,False,0.2764,1,24,False,"AR(2) unique"
Chrm3,Other,0.6163,0.1498,Real,22.5299,1.01,0.0048,0.5054,True,0.5037,0.1297,24,False,"Partial"
Ryr2,Other,0.6347,0.1354,Real,3.533,13.42,0.0563,0.3312,False,-0.5202,0.0993,20,False,"AR(2) unique"
Mtr,Other,0.631,0.1808,Real,9.49,18.15,0.5138,0.0896,False,0.1964,1,24,False,"AR(2) unique"
Actn2,Other,0.5242,0.0794,Complex,1.1697,13.82,0.6709,0.0543,False,0.2514,1,28,False,"AR(2) unique"
Lgals8,Other,0.6291,0.1626,Real,203.3566,1.58,0.0073,0.4785,True,-0.5263,0.083,28,False,"Partial"
Edaradd,Other,0.2589,0.0051,Real,2.0005,21.94,0.1461,0.2427,False,0.359,1,20,False,"All agree: none"
Gpr137b-ps,Other,0.6884,0.2227,Real,8.344,0.27,0.1043,0.2762,False,0.4307,0.4435,28,False,"AR(2) unique"
Gm10811,Other,0.4238,0.1004,Complex,0.4161,17.25,0.9314,0.0099,False,-0.1657,1,20,False,"All agree: none"
Gpr137b,Other,0.461,0.1154,Real,1.4362,21.39,0.8473,0.0228,False,0.2596,1,20,False,"All agree: none"
H3f3a,Other,0.5116,0.1551,Real,3.0729,9.7,0.0188,0.4142,True,-0.4481,0.3321,24,False,"Partial"
