dataset,gene,category,n_tp,ar2_ols_mod,ar2_ols_r2,ar2_ols_aic,ar2_ols_b1,ar2_ols_b2,sarimax_mod,sarimax_aic,sarimax_b1,sarimax_b2,ll_mod,ll_aic
GSE11923_Liver_48h,Adamts9,background,48,0.15999504194908454,0.0009451880714226313,168.84484703828633,0.01705657260510786,-0.02559841344828932,,,0.01705657260510786,,0.9534192632166788,308.494409446634
GSE11923_Liver_48h,Gm26688,background,48,0.859454138614179,0.41908166043317796,-6.08796227569899,0.36729317267897865,0.42298977903735974,0.8594541386141787,,0.36729317267897865,0.4229897790373597,1.0015361091422417,124.05991564059694
GSE11923_Liver_48h,9430091E24Rik,background,48,0.2814297629707526,0.006808675315118862,149.8169908707255,-0.029173639005223642,-0.07920271148577399,,,-0.029173639005223642,,0.9827994481051258,288.13617528770186
GSE11923_Liver_48h,1700006A11Rik,background,48,0.892994627673867,0.4160244878407324,-18.37858859617351,0.36210156335779364,0.47408465430357033,0.8929946276738672,,0.36210156335779364,0.4740846543035704,1.007588149535728,112.5832681355627
GSE11923_Liver_48h,4930533B18Rik,background,48,0.8699160282696963,0.42759810403879284,16.934742466239047,0.34788148027516463,0.454126220610969,0.8699160282696963,,0.34788148027516463,0.4541262206109691,0.9889614446913192,148.58819142971984
GSE11923_Liver_48h,4933435G04Rik,background,48,0.8848275375818271,0.4334911408694211,7.451320809548495,0.32584982223660797,0.49459887543202563,0.8848275375818271,,0.325849822236608,0.4945988754320257,1.0069558045643014,140.63982878701805
GSE11923_Liver_48h,6330582A15Rik,background,48,0.6261047874581634,0.27041309844575756,380.1934179961354,0.5183956926182989,-0.3920072048780321,,,0.5183956926182989,,0.8952408202745746,537.3778263769356
GSE11923_Liver_48h,Cry1,clock,48,0.8953346819260648,0.8137911518839116,673.4747324510543,0.7276436291492059,0.1501396153998159,0.8953346819260648,,0.7276436291492059,0.1501396153998159,0.8952981043878461,825.8069060332994
GSE11923_Liver_48h,Prr14l,background,48,0.7102179073941232,0.23749820915973696,439.2733691134857,0.3232173825940003,0.27485470288397074,0.7102179073941233,,0.3232173825940003,0.2748547028839708,0.8115712915000272,583.0724418822196
GSE11923_Liver_48h,Hlf,clock,48,0.8226614941283401,0.4933210140789831,602.4410356435736,0.5495278877433325,0.22469650072535233,0.8226614941283401,,0.5495278877433325,0.2246965007253523,0.7948470371404974,749.6610367905963
GSE11923_Liver_48h,Rfesd,background,48,0.3853201317350906,0.24402343580252217,433.8562408538079,0.53883132730475,-0.14847160392034758,,,0.53883132730475,,0.8051328976784001,587.6891564023653
GSE11923_Liver_48h,Gramd1b,background,48,0.6337018357333313,0.1338815398308203,172.76245133298684,0.10173891535581397,0.3371058791852967,0.6337018357333313,,0.10173891535581399,0.3371058791852967,0.965851845083128,311.02481393790333
GSE11923_Liver_48h,Fut9,background,48,0.837976452628485,0.4287479462282262,105.87991950000053,0.525675436017159,0.26170089805222835,0.8379764526284847,,0.525675436017159,0.2617008980522283,1.0248350203195673,238.18269939757926
GSE11923_Liver_48h,Tatdn1,background,48,0.5129963350568358,0.2629983582050096,471.52923986317916,0.5228486320042544,-0.005054192225917328,,,0.5228486320042544,,0.7719631011869381,619.3427933083299
GSE11923_Liver_48h,Ppara,target,48,0.7869988971065285,0.5887739850571732,772.3555392032873,0.7635575953576551,0.01844827862310472,0.7869988971065285,,0.7635575953576551,0.01844827862310472,0.7869834330068888,924.6464034648644
GSE11923_Liver_48h,Gm15511,background,48,0.35013404919247987,0.022180995233601508,198.77627498060284,-0.09423648485032654,-0.12259385240392191,,,-0.09423648485032654,,0.9623015475001095,338.64985661651747
GSE11923_Liver_48h,Gm11544,background,48,0.8060510196828339,0.36363583718354164,22.14025974135546,0.3875092419037848,0.33736602675866867,0.8060510196828339,,0.3875092419037848,0.3373660267586686,1.004852956841633,150.78270081472542
GSE11923_Liver_48h,Tmem241,background,48,0.24387637745182006,0.039931500854448965,262.0934771348597,0.20268732045435486,-0.05947568747902262,,,0.2026873204543549,,0.8928158857215165,404.3664026669024
GSE11923_Liver_48h,BC028471,background,48,0.8883802012605012,0.42858870219059164,-36.98783754533473,0.3407287624277413,0.4865226954508503,0.8883802012605011,,0.34072876242774136,0.48652269545085025,1.0171419244662638,94.47730367505582
GSE11923_Liver_48h,Slc22a15,background,48,0.677270994713652,0.17537433023866467,298.1910634081294,0.16774664513651766,0.3450860630689323,0.677270994713652,,0.16774664513651766,0.34508606306893236,0.8292505255497296,443.6460583039431
GSE11923_Liver_48h,Plk1,background,48,0.45926616820179306,0.07473275907510257,45.025707738047515,0.23580751463784957,0.1026269995738443,0.45926616820179306,,0.23580751463784957,0.1026269995738443,0.8646374798399545,179.17434217988244
GSE11923_Liver_48h,Cdk1,target,48,0.6566879735635723,0.14414151602767244,365.4200267403563,0.04211555532655015,0.4035823159401343,0.6566879735635723,,0.04211555532655015,0.4035823159401343,0.9114400290984401,511.27165703541584
