gene_id	eigenvalue	R2	beta1	beta2	complex	mean_expr	starvation_maintenance
ECB_04165	0.9577	0.018	1.1283	-0.2342	N	11.8	0.7362
ECB_00987	0.8882	-0.377	0.8949	-0.0350	N	2.4	1.8409
ECB_03094	0.8601	-0.073	0.9385	-0.0723	N	31.3	0.3750
ECB_03865	0.9160	-0.206	0.9963	-0.1217	N	8.3	0.9714
ECB_01111	0.5728	-0.092	0.8374	0.0138	N	0.5	4.0000
ECB_02347	0.7435	-0.373	0.7950	0.0498	N	0.3	2.0000
ECB_03841	0.7011	0.195	1.0365	-0.1563	N	897.0	0.0939
ECB_03800	0.3078	0.194	1.1219	-0.2293	N	112.5	0.2696
ECB_00465	0.6774	-0.505	0.6983	0.1321	N	6.6	0.7079
ECB_02574	0.8196	0.197	0.8531	0.0000	N	0.3	9.0000
ECB_02705	0.7622	-0.537	0.6839	0.1443	N	3.4	1.0109
ECB_01208	0.9576	-0.016	1.0622	-0.1785	N	84.0	0.4937
ECB_03288	0.7588	-0.120	0.5519	0.2565	N	8.1	0.4440
ECB_03651	0.3350	-0.120	0.9515	-0.0843	N	37.7	0.6941
ECB_00080	0.6277	0.227	1.0952	-0.2070	N	435.4	0.1312
ECB_01761	0.8357	-0.126	1.0079	-0.1326	N	11.6	0.8734
ECB_00688	0.9029	0.492	1.3005	-0.3820	N	598.3	0.0895
ECB_00943	0.5270	0.503	1.4821	-0.7264	Y	1.8	9.0000
ECB_02017	0.6143	-0.162	0.7718	0.0686	N	3.6	3.0500
ECB_00338	0.9451	0.019	0.9874	-0.1152	N	53.9	0.3244
ECB_03476	0.6752	0.463	1.4094	-0.4748	N	339.5	0.1502
ECB_02043	0.7804	0.241	1.0964	-0.2083	N	432.6	0.1523
ECB_01114	0.5774	0.160	1.0077	-0.1327	N	143.7	0.2317
ECB_02300	0.9223	-0.209	0.9147	-0.0535	N	7.7	0.9706
ECB_00224	0.9156	0.003	1.0880	-0.2012	N	4.7	1.9000
ECB_01666	0.7984	0.527	1.6081	-0.7257	Y	2.4	3.2500
ECB_00922	0.6624	0.184	1.1045	-0.2152	N	117.7	0.2734
ECB_04166	0.6953	-0.868	0.5532	0.2542	N	6.7	0.9800
ECB_04037	0.7999	0.193	1.0818	-0.1960	N	234.9	0.1959
ECB_00775	0.7530	-0.456	0.7407	0.0944	N	11.6	0.7125
ECB_01228	0.6059	-0.253	0.7638	0.0747	N	11.1	0.8166
ECB_03254	0.9388	-0.142	1.0033	-0.1293	N	41.2	0.5898
ECB_02543	0.6792	0.270	1.1303	-0.2374	N	413.5	0.1332
RF01830.2	0.5976	0.672	1.4398	-0.5010	N	456.7	0.1111
ECB_04052	0.6642	0.346	1.2567	-0.3451	N	5.6	14.5714
ECB_02700	0.8732	-0.504	0.7717	0.0678	N	3.2	2.1207
ECB_01414	0.8108	0.004	1.1554	-0.2589	N	20.4	1.0821
ECB_03234	0.8074	-0.688	0.6955	0.1325	N	8.4	1.9726
ECB_02175	0.6624	0.319	1.0550	-0.1737	N	203.1	0.1175
ECB_02857	0.6620	-0.908	0.4932	0.3044	N	1.4	1.0313
ECB_00908	0.6526	0.168	1.1610	-0.2639	N	58.6	0.3509
ECB_02272	0.5588	0.037	0.9108	-0.0511	N	50.3	0.2956
ECB_03544	0.6452	0.401	0.9589	-0.0920	N	99.9	0.0578
ECB_01261	0.7493	0.074	1.0795	-0.1947	N	87.1	0.4151
ECB_02877	0.9098	0.035	0.7989	0.0440	N	141.2	0.1373
ECB_02066	0.5000	-0.135	0.8988	-0.0410	N	13.2	0.5866
ECB_02733	0.6462	0.060	1.0041	-0.1307	N	96.3	0.2730
ECB_03413	0.8431	-0.170	0.9547	-0.0887	N	9.6	1.0036
